Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;18795;"Water Research";journal;"00431354, 18792448";"Elsevier Ltd";No;No;3,596;Q1;417;1283;3574;79340;47583;3556;12,53;61,84;38,34;66;United Kingdom;Western Europe;"Elsevier Ltd";"1967-2026";"Civil and Structural Engineering (Q1); Ecological Modeling (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Engineering; Environmental Science"
2;23895;"Critical Reviews in Environmental Science and Technology";journal;"15476537, 10643389";"Taylor and Francis Ltd.";No;No;3,184;Q1;169;95;263;11901;4102;259;14,69;125,27;38,27;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2026";"Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
3;21101042161;"Environmental Science and Ecotechnology";journal;"26664984";"Elsevier B.V.";Yes;No;2,968;Q1;55;52;109;4154;1560;102;15,37;79,88;35,33;5;China;Asiatic Region;"Elsevier B.V.";"2020-2026";"Ecology (Q1); Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1)";"Environmental Science"
4;25858;"Journal of Hazardous Materials";journal;"18733336, 03043894";"Elsevier B.V.";No;No;2,950;Q1;401;2466;8206;165679;118732;8173;14,11;67,19;40,38;96;Netherlands;Western Europe;"Elsevier B.V.";"1975, 1977, 1979-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science"
5;15423;"Bioresource Technology";journal;"09608524, 18732976";"Elsevier Ltd";No;No;2,576;Q1;404;1442;5182;72898;58958;5154;10,83;50,55;38,73;13;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Bioengineering (Q1); Environmental Engineering (Q1); Medicine (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Energy; Environmental Science; Medicine"
6;21100826238;"Biofuel Research Journal";journal;"22928782";"Alpha Creation Enterprise";Yes;Yes;2,508;Q1;54;16;49;1538;634;49;14,55;96,13;19,28;0;Malaysia;Asiatic Region;"Alpha Creation Enterprise";"2014-2025";"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Environmental Engineering (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Environmental Science"
7;16136;"Reviews in Environmental Science and Biotechnology";journal;"15691705, 15729826";"Springer Science and Business Media B.V.";No;No;2,507;Q1;132;37;116;6241;1657;115;8,91;168,68;29,01;3;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2002-2026";"Applied Microbiology and Biotechnology (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science; Immunology and Microbiology"
8;21101055861;"Resources, Environment and Sustainability";journal;"26669161";"Elsevier B.V.";Yes;No;2,370;Q1;36;43;72;3110;960;69;13,66;72,33;34,93;7;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1)";"Environmental Science"
9;21100416081;"Sustainable Production and Consumption";journal;"23525509";"Elsevier B.V.";No;No;2,359;Q1;116;333;882;25551;10803;875;12,35;76,73;39,20;65;Netherlands;Western Europe;"Elsevier B.V.";"2015-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Environmental Science"
10;21101089625;"ACS Environmental Au";journal;"26942518";"American Chemical Society";Yes;No;2,043;Q1;30;36;58;2343;399;51;6,88;65,08;40,98;5;United States;Northern America;"American Chemical Society";"2021-2026";"Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Water Science and Technology (Q1)";"Environmental Science"
