Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;20425;"Nature Reviews Drug Discovery";journal;"14741784, 14741776";"Nature Research";No;No;32,577;Q1;428;247;716;9627;12533;117;15,31;38,98;30,70;6;United Kingdom;Western Europe;"Nature Research";"2002-2026";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2;12611;"Drug Resistance Updates";journal;"13687646, 15322084";"Churchill Livingstone";No;No;5,279;Q1;148;90;201;9929;4287;192;21,95;110,32;39,63;0;United Kingdom;Western Europe;"Churchill Livingstone";"1998-2026";"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3;21100255572;"National Toxicology Program Monograph";journal;"23301279, 23785144";"United States National Toxicology Program";No;No;4,988;Q1;8;0;1;0;20;1;20,00;0,00;0,00;0;United States;Northern America;"United States National Toxicology Program";"2012, 2019, 2024";"Health, Toxicology and Mutagenesis (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Toxicology (Q1)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
4;21191;"Pharmacological Reviews";journal;"15210081, 00316997";"Elsevier Inc.";No;No;4,967;Q1;273;76;122;22617;2372;111;16,79;297,59;38,53;0;United States;Northern America;"Elsevier Inc.";"1949, 1951-2026";"Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
5;22321;"Trends in Pharmacological Sciences";journal;"18733735, 01656147";"Elsevier Ltd";No;No;4,447;Q1;261;119;329;8409;5008;310;14,12;70,66;34,16;0;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2026";"Pharmacology (Q1); Toxicology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
6;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";"BMJ Publishing Group";Yes;No;4,114;Q1;155;688;1437;30301;14995;1406;9,58;44,04;44,33;2;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2026";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
7;21101207465;"NEJM Evidence";journal;"27665526";"Massachussetts Medical Society";No;No;3,979;Q1;19;81;149;1719;921;91;6,20;21,22;41,07;0;United States;Northern America;"Massachussetts Medical Society";"2022-2025";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
8;21195;"Pharmacology and Therapeutics";journal;"1879016X, 01637258";"Elsevier Inc.";No;No;3,837;Q1;254;103;471;21332;7218;470;13,79;207,11;41,43;0;United States;Northern America;"Elsevier Inc.";"1976-1977, 1979-1985, 1987-2026";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
9;12455;"Molecular Therapy";journal;"15250024, 15250016";"Cell Press";No;No;3,814;Q1;233;519;936;31417;8788;733;8,04;60,53;44,99;3;United States;Northern America;"Cell Press";"2000-2026";"Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
10;21100456838;"Cell Chemical Biology";journal;"24519448, 24519456";"Elsevier Ltd";No;No;3,427;Q1;223;136;490;8443;3219;390;6,65;62,08;41,55;0;United Kingdom;Western Europe;"Elsevier Ltd";"2016-2026";"Biochemistry (Q1); Clinical Biochemistry (Q1); Drug Discovery (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
11;19907;"Medicinal Research Reviews";journal;"01986325, 10981128";"John Wiley &amp; Sons Inc.";No;No;3,265;Q1;167;61;194;12491;3207;193;14,76;204,77;38,86;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"1981-2026";"Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
12;18017;"Neuropsychopharmacology";journal;"0893133X, 1740634X";"Springer Nature";No;No;2,988;Q1;269;183;821;10834;5844;671;6,23;59,20;45,30;0;Switzerland;Western Europe;"Springer Nature";"1987-2026";"Pharmacology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
13;21169;"Pharmacological Research";journal;"10436618, 10961186";"Academic Press";Yes;No;2,909;Q1;200;478;1363;55287;15431;1248;10,80;115,66;48,52;0;United States;Northern America;"Academic Press";"1989-2026";"Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
14;19403;"Acta Pharmacologica Sinica";journal;"16714083, 17457254";"Springer Nature";No;No;2,691;Q1;134;275;676;16553;7198;668;10,94;60,19;45,16;0;United Kingdom;Western Europe;"Springer Nature";"1980-2026";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
15;20051;"BioDrugs";journal;"11738804, 1179190X";"";No;No;2,628;Q1;90;60;169;5618;1474;165;8,60;93,63;45,72;0;Switzerland;Western Europe;"";"1996-2026";"Biotechnology (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
16;20084;"British Journal of Pharmacology";journal;"14765381, 00071188";"John Wiley and Sons Inc";No;No;2,515;Q1;262;379;820;29384;6437;781;7,89;77,53;44,97;1;United States;Northern America;"John Wiley and Sons Inc";"1966-2026";"Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
17;5100155080;"Neurotherapeutics";journal;"19337213, 18787479";"Elsevier B.V.";Yes;No;2,384;Q1;152;251;421;19783;3442;399;7,11;78,82;43,98;0;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
18;15576;"European Neuropsychopharmacology";journal;"0924977X, 18737862";"Elsevier B.V.";No;No;2,334;Q1;139;152;430;4406;2084;242;4,83;28,99;45,64;3;Netherlands;Western Europe;"Elsevier B.V.";"1990-2026";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
