Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21101192674;"npj Urban Sustainability";journal;"26618001";"Springer Nature";Yes;No;3,185;Q1;35;49;124;3200;1342;111;9,06;65,31;42,05;6;United Kingdom;Western Europe;"Springer Nature";"2021-2026";"Computational Mechanics (Q1); Ecology (Q1); Environmental Engineering (Q1); Industrial and Manufacturing Engineering (Q1)";"Engineering; Environmental Science"
2;18158;"Computer Methods in Applied Mechanics and Engineering";journal;"00457825";"Elsevier B.V.";No;No;2,412;Q1;262;836;1926;51308;16310;1921;8,04;61,37;18,30;1;Netherlands;Western Europe;"Elsevier B.V.";"1972-2026";"Computational Mechanics (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Physics and Astronomy"
3;21100979265;"Railway Engineering Science";journal;"26624753, 26624745";"Springer";Yes;Yes;1,368;Q1;45;31;85;1417;481;82;5,39;45,71;26,21;1;Singapore;Asiatic Region;"Springer";"2020-2026";"Computational Mechanics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Transportation (Q1)";"Computer Science; Engineering; Social Sciences"
4;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,273;Q1;36;30;86;1358;569;83;6,25;45,27;38,46;0;Switzerland;Western Europe;"Springer International Publishing";"2016-2026";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
5;28457;"Computational Mechanics";journal;"14320924, 01787675";"Springer Verlag";No;No;1,256;Q1;131;131;424;8326;1816;420;4,07;63,56;16,75;1;Germany;Western Europe;"Springer Verlag";"1986-2026";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Mechanics (Q1); Computational Theory and Mathematics (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1)";"Computer Science; Engineering; Mathematics"
6;21100823385;"Defence Technology";journal;"20963459, 22149147";"KeAi Communications Co.";Yes;Yes;1,144;Q1;69;299;578;14214;3851;578;6,38;47,54;28,79;4;China;Asiatic Region;"KeAi Communications Co.";"2013-2026";"Ceramics and Composites (Q1); Computational Mechanics (Q1); Mechanical Engineering (Q1); Metals and Alloys (Q1)";"Engineering; Materials Science"
7;21101018848;"SAE International Journal of Vehicle Dynamics, Stability, and NVH";journal;"23802170, 23802162";"SAE International";No;No;1,142;Q1;28;35;100;1709;659;97;8,31;48,83;26,52;0;United States;Northern America;"SAE International";"2016-2026";"Automotive Engineering (Q1); Computational Mechanics (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Engineering; Mathematics"
8;16214;"International Journal for Numerical and Analytical Methods in Geomechanics";journal;"03639061, 10969853";"John Wiley and Sons Ltd";No;No;1,107;Q1;127;206;419;10974;1605;419;3,66;53,27;23,48;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1977-2026";"Computational Mechanics (Q1); Geotechnical Engineering and Engineering Geology (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)";"Earth and Planetary Sciences; Engineering; Materials Science"
9;21098;"International Journal of Damage Mechanics";journal;"10567895, 15307921";"SAGE Publications Ltd";No;No;1,066;Q1;65;47;184;2659;782;183;4,51;56,57;20,44;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2026";"Computational Mechanics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Engineering; Materials Science"
10;13835;"Acta Mechanica Sinica/Lixue Xuebao";journal;"16143116, 05677718";"Springer Verlag";No;No;1,019;Q1;71;170;473;7848;2127;463;3,40;46,16;28,93;0;Germany;Western Europe;"Springer Verlag";"1985-2026";"Computational Mechanics (Q1); Mechanical Engineering (Q1)";"Engineering"
11;21100836848;"Physical Review Fluids";journal;"2469990X";"American Physical Society";No;No;1,002;Q1;73;545;1591;27166;4670;1578;2,85;49,85;18,51;0;United States;Northern America;"American Physical Society";"2016-2026";"Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q1); Modeling and Simulation (Q1)";"Chemical Engineering; Engineering; Mathematics"
12;21100820602;"Journal of Computational Design and Engineering";journal;"22885048, 22884300";"Oxford University Press";Yes;No;0,976;Q1;61;106;363;6567;2319;363;6,93;61,95;26,78;0;United Kingdom;Western Europe;"Oxford University Press";"2014-2026";"Computational Mathematics (Q1); Computational Mechanics (Q1); Computer Graphics and Computer-Aided Design (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Human-Computer Interaction (Q2)";"Computer Science; Engineering; Mathematics"
13;29210;"Physics of Fluids";journal;"10706631, 10897666";"American Institute of Physics";No;No;0,900;Q1;220;4959;7204;242600;30568;7175;4,25;48,92;25,85;3;United States;Northern America;"American Institute of Physics";"1958-1988, 1994-2026";"Computational Mechanics (Q1); Condensed Matter Physics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemical Engineering; Engineering; Physics and Astronomy"
14;9500154152;"Intelligent Service Robotics";journal;"18612784, 18612776";"Springer Verlag";No;No;0,875;Q1;49;79;144;3222;779;138;5,83;40,78;28,67;0;Germany;Western Europe;"Springer Verlag";"2008-2026";"Computational Mechanics (Q1); Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering"
15;14592;"Theoretical and Computational Fluid Dynamics";journal;"09354964, 14322250";"Springer New York";No;No;0,783;Q1;73;44;127;2358;392;126;3,14;53,59;11,11;0;United States;Northern America;"Springer New York";"1989-2026";"Computational Mechanics (Q1); Condensed Matter Physics (Q1); Engineering (miscellaneous) (Q1); Fluid Flow and Transfer Processes (Q1)";"Chemical Engineering; Engineering; Physics and Astronomy"
16;20327;"Experiments in Fluids";journal;"14321114, 07234864";"Springer Verlag";No;No;0,754;Q1;155;187;634;8308;1721;626;2,60;44,43;15,32;2;Germany;Western Europe;"Springer Verlag";"1983-2026";"Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q1); Physics and Astronomy (miscellaneous) (Q1); Mechanics of Materials (Q2)";"Chemical Engineering; Engineering; Physics and Astronomy"
17;16215;"International Journal of Numerical Methods for Heat and Fluid Flow";journal;"09615539";"Emerald Group Publishing Ltd.";No;No;0,683;Q1;82;175;477;8270;2097;470;4,62;47,26;21,43;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2026";"Computational Mechanics (Q1); Engineering (miscellaneous) (Q1); Aerospace Engineering (Q2); Mechanical Engineering (Q2)";"Engineering"
18;21107;"International Journal of Fracture";journal;"15732673, 03769429";"Springer Netherlands";No;No;0,636;Q1;122;76;239;3391;576;234;2,83;44,62;17,24;1;Netherlands;Western Europe;"Springer Netherlands";"1973-2026";"Computational Mechanics (Q1); Mechanics of Materials (Q2); Modeling and Simulation (Q2)";"Engineering; Mathematics"
19;21100825344;"Computational Particle Mechanics";journal;"21964386, 21964378";"Elsevier Ltd";No;No;0,623;Q1;46;174;274;8372;945;271;3,35;48,11;22,89;0;Switzerland;Western Europe;"Elsevier Ltd";"2014-2025";"Computational Mechanics (Q1); Civil and Structural Engineering (Q2); Computational Mathematics (Q2); Fluid Flow and Transfer Processes (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2)";"Chemical Engineering; Engineering; Mathematics"
20;18534;"International Journal for Numerical Methods in Fluids";journal;"10970363, 02712091";"John Wiley and Sons Ltd";No;No;0,623;Q1;135;86;318;3903;663;318;2,11;45,38;20,68;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-2026";"Computational Mechanics (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Computer Science; Engineering; Mathematics"
21;21100821307;"Applied Computational Intelligence and Soft Computing";journal;"16879724, 16879732";"John Wiley and Sons Ltd";Yes;No;0,602;Q1;32;47;130;2281;708;129;5,01;48,53;26,11;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2016-2026";"Computational Mechanics (Q1); Artificial Intelligence (Q2); Civil and Structural Engineering (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2)";"Computer Science; Engineering"
22;19747;"Acta Mechanica";journal;"16196937, 00015970";"Springer-Verlag Wien";No;No;0,598;Q1;98;388;878;18597;2536;865;2,92;47,93;22,58;0;Austria;Western Europe;"Springer-Verlag Wien";"1965-2026";"Computational Mechanics (Q1); Mechanical Engineering (Q2)";"Engineering"
23;21100390176;"Theoretical and Applied Mechanics Letters";journal;"25890336, 20950349";"Elsevier B.V.";Yes;No;0,598;Q1;42;64;182;2445;616;176;3,55;38,20;28,39;0;Netherlands;Western Europe;"Elsevier B.V.";"2011-2026";"Computational Mechanics (Q1); Aerospace Engineering (Q2); Biomedical Engineering (Q2); Civil and Structural Engineering (Q2); Environmental Engineering (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Ocean Engineering (Q2)";"Engineering; Environmental Science"
24;13836;"Acta Mechanica Solida Sinica";journal;"08949166, 18602134";"Huazhong University of Science and Technology";No;No;0,597;Q2;49;88;244;3664;604;243;2,49;41,64;25,71;0;China;Asiatic Region;"Huazhong University of Science and Technology";"1981-2026";"Computational Mechanics (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Engineering"
25;18078;"Robotica";journal;"02635747, 14698668";"Cambridge University Press";No;No;0,556;Q2;82;210;556;8519;1598;554;3,01;40,57;24,56;0;United Kingdom;Western Europe;"Cambridge University Press";"1983-2026";"Computational Mechanics (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Mathematics (miscellaneous) (Q2); Mechanical Engineering (Q2); Modeling and Simulation (Q2); Rehabilitation (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering; Mathematics; Medicine"
26;12441;"Open Systems and Information Dynamics";journal;"17937191, 12301612";"World Scientific";No;No;0,533;Q2;37;19;68;656;75;62;1,36;34,53;14,29;0;Singapore;Asiatic Region;"World Scientific";"1992-1995, 1997-2025";"Computational Mechanics (Q2); Fluid Flow and Transfer Processes (Q2); Information Systems (Q2); Mathematical Physics (Q2); Mechanics of Materials (Q2); Physical and Theoretical Chemistry (Q2); Statistics and Probability (Q2); Statistical and Nonlinear Physics (Q3)";"Chemical Engineering; Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
