Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;26,632;Q1;436;202;556;12133;17747;315;34,25;60,06;40,95;1;United States;Northern America;"Cell Press";"2002-2026";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2;12464;"Nature Reviews Cancer";journal;"1474175X, 14741768";"Nature Research";No;No;22,814;Q1;548;115;335;11492;9851;162;25,80;99,93;40,93;0;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3;21100888816;"Signal Transduction and Targeted Therapy";journal;"20593635, 20959907";"Springer Nature";Yes;No;17,740;Q1;224;423;1207;57802;58350;843;51,26;136,65;41,28;3;United Kingdom;Western Europe;"Springer Nature";"2016-2026";"Cancer Research (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
4;21101023100;"Nature Cancer";journal;"26621347";"Nature Research";No;No;12,443;Q1;102;199;528;8965;8590;348;14,06;45,05;41,20;0;United States;Northern America;"Nature Research";"2020-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5;17900156736;"Journal of Hematology and Oncology";journal;"17568722";"BioMed Central Ltd";Yes;No;11,824;Q1;194;110;406;13372;12988;270;28,48;121,56;43,61;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2026";"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
6;12429;"Molecular Cancer";journal;"14764598";"BioMed Central Ltd";Yes;No;9,908;Q1;242;300;666;47076;22706;558;32,77;156,92;42,41;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2026";"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
7;5300152732;"Cell Host and Microbe";journal;"19346069, 19313128";"Cell Press";No;No;9,892;Q1;270;220;628;12020;9069;393;14,95;54,64;44,91;0;United States;Northern America;"Cell Press";"2007-2026";"Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
8;21100866005;"Cancer Communications";journal;"25233548";"John Wiley &amp; Sons Inc.";Yes;No;7,986;Q1;108;122;308;7269;5166;158;14,38;59,58;42,52;0;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9;21100420583;"JAMA Oncology";journal;"23742445, 23742437";"American Medical Association";No;No;7,399;Q1;208;308;1078;4823;9717;546;9,16;15,66;41,29;5;United States;Northern America;"American Medical Association";"2015-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
10;21100445640;"Trends in Cancer";journal;"24058033, 24058025";"Cell Press";No;No;5,488;Q1;116;119;327;8918;4604;322;13,84;74,94;41,32;0;United States;Northern America;"Cell Press";"2015-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
