Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;18795;"Water Research";journal;"00431354, 18792448";"Elsevier Ltd";No;No;3,596;Q1;417;1283;3574;79340;47583;3556;12,53;61,84;38,34;66;United Kingdom;Western Europe;"Elsevier Ltd";"1967-2026";"Civil and Structural Engineering (Q1); Ecological Modeling (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Engineering; Environmental Science"
2;21101030209;"Energy and Environmental Materials";journal;"25750348, 25750356";"John Wiley &amp; Sons Inc.";No;No;3,493;Q1;81;239;222;17644;3260;212;13,31;73,82;32,11;2;United States;Northern America;"John Wiley &amp; Sons Inc.";"2018-2026";"Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Energy; Environmental Science; Materials Science"
3;23895;"Critical Reviews in Environmental Science and Technology";journal;"15476537, 10643389";"Taylor and Francis Ltd.";No;No;3,184;Q1;169;95;263;11901;4102;259;14,69;125,27;38,27;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2026";"Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
4;21100403504;"Environmental Science and Technology Letters";journal;"23288930";"American Chemical Society";No;No;3,086;Q1;124;185;476;7600;4884;446;8,88;41,08;38,88;34;United States;Northern America;"American Chemical Society";"2013-2026";"Ecology (Q1); Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
5;25858;"Journal of Hazardous Materials";journal;"18733336, 03043894";"Elsevier B.V.";No;No;2,950;Q1;401;2466;8206;165679;118732;8173;14,11;67,19;40,38;96;Netherlands;Western Europe;"Elsevier B.V.";"1975, 1977, 1979-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science"
6;26424;"Resources, Conservation and Recycling";journal;"18790658, 09213449";"Elsevier B.V.";No;No;2,770;Q1;245;539;1734;33601;23349;1720;12,33;62,34;35,77;68;Netherlands;Western Europe;"Elsevier B.V.";"1988-2026";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
7;15423;"Bioresource Technology";journal;"09608524, 18732976";"Elsevier Ltd";No;No;2,576;Q1;404;1442;5182;72898;58958;5154;10,83;50,55;38,73;13;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Bioengineering (Q1); Environmental Engineering (Q1); Medicine (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Energy; Environmental Science; Medicine"
8;21100826238;"Biofuel Research Journal";journal;"22928782";"Alpha Creation Enterprise";Yes;Yes;2,508;Q1;54;16;49;1538;634;49;14,55;96,13;19,28;0;Malaysia;Asiatic Region;"Alpha Creation Enterprise";"2014-2025";"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Environmental Engineering (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Environmental Science"
9;16136;"Reviews in Environmental Science and Biotechnology";journal;"15691705, 15729826";"Springer Science and Business Media B.V.";No;No;2,507;Q1;132;37;116;6241;1657;115;8,91;168,68;29,01;3;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2002-2026";"Applied Microbiology and Biotechnology (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science; Immunology and Microbiology"
10;21101081525;"Resources, Conservation and Recycling Advances";journal;"26673789";"Elsevier Inc.";Yes;No;2,031;Q1;40;71;85;5728;905;83;6,67;80,68;35,85;9;United States;Northern America;"Elsevier Inc.";"2021-2026";"Economics and Econometrics (Q1); Waste Management and Disposal (Q1)";"Economics, Econometrics and Finance; Environmental Science"
11;25349;"Science of the Total Environment";journal;"00489697, 18791026";"Elsevier B.V.";No;No;1,998;Q1;439;8371;22551;624168;229042;22279;9,48;74,56;40,75;740;Netherlands;Western Europe;"Elsevier B.V.";"1972-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science"
12;21101177658;"Circular Economy";journal;"27731677, 27731685";"Elsevier B.V.";Yes;No;1,863;-;22;24;14;1575;157;12;11,21;65,63;31,58;1;Netherlands;Western Europe;"Elsevier B.V.";"2022-2026";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
13;23371;"Journal of Environmental Management";journal;"10958630, 03014797";"Academic Press";No;No;1,771;Q1;296;2774;6005;188663;56251;5982;9,10;68,01;38,14;197;United States;Northern America;"Academic Press";"1973, 1975, 1977-2026";"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)";"Environmental Science; Medicine"
14;21100873342;"Current Pollution Reports";journal;"21986592";"Springer International Publishing AG";No;No;1,741;Q1;66;42;108;5479;912;108;7,65;130,45;40,74;2;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2026";"Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
15;21100897159;"Water Research X";journal;"25899147";"Elsevier Ltd";Yes;No;1,736;Q1;41;45;97;2454;709;96;7,25;54,53;36,74;4;United Kingdom;Western Europe;"Elsevier Ltd";"2018-2026";"Ecological Modeling (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
16;26490;"Waste Management";journal;"0956053X, 18792456";"Elsevier Ltd";No;No;1,734;Q1;255;529;1656;29619;15123;1647;8,23;55,99;36,66;37;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2026";"Waste Management and Disposal (Q1)";"Environmental Science"
17;21100442376;"Sustainable Materials and Technologies";journal;"22149929, 22149937";"Elsevier B.V.";Yes;No;1,681;Q1;86;248;384;18521;3995;383;9,54;74,68;34,74;7;Netherlands;Western Europe;"Elsevier B.V.";"2014-2026";"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Energy; Engineering; Environmental Science; Materials Science"
18;21101081613;"Journal of Hazardous Materials Letters";journal;"26669110";"Elsevier B.V.";Yes;No;1,673;Q1;32;19;69;921;513;69;7,65;48,47;44,58;4;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science"
19;21100788800;"Current Opinion in Green and Sustainable Chemistry";journal;"24522236";"Elsevier B.V.";No;No;1,619;Q1;91;141;375;7289;3547;352;9,50;51,70;37,71;12;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Chemistry; Environmental Science"
20;21100982467;"npj Clean Water";journal;"20597037";"Springer Nature";Yes;No;1,512;Q1;57;80;153;5132;1296;147;6,90;64,15;33,70;11;United States;Northern America;"Springer Nature";"2018-2026";"Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science"
21;21101089658;"Cleaner Materials";journal;"27723976";"Elsevier Ltd";Yes;No;1,502;Q1;46;49;161;3294;1345;160;8,35;67,22;22,03;0;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2026";"Environmental Engineering (Q1); Mechanics of Materials (Q1); Polymers and Plastics (Q1); Waste Management and Disposal (Q1)";"Engineering; Environmental Science; Materials Science"
22;21100255407;"Journal of CO2 Utilization";journal;"22129820";"Elsevier B.V.";Yes;No;1,495;Q1;121;264;1066;17691;8372;1065;7,61;67,01;33,81;7;United Kingdom;Western Europe;"Elsevier B.V.";"2013-2026";"Chemical Engineering (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Environmental Science"
23;21100216308;"GCB Bioenergy";journal;"17571693, 17571707";"Wiley-VCH Verlag";Yes;No;1,414;Q1;96;95;285;6355;1744;273;6,49;66,89;39,51;15;Germany;Western Europe;"Wiley-VCH Verlag";"2009-2026";"Agronomy and Crop Science (Q1); Forestry (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science"
24;21100255493;"Journal of Environmental Chemical Engineering";journal;"22133437, 22132929";"Elsevier Ltd";No;No;1,355;Q1;172;2581;5418;176033;44967;5408;8,15;68,20;38,12;10;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2026";"Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Environmental Science"
25;23419;"Journal of Marine Environmental Engineering";journal;"1061026X, 10290427";"Old City Publishing";No;No;1,307;Q1;16;6;7;157;34;6;4,86;26,17;22,86;0;United States;Northern America;"Old City Publishing";"1996-2001, 2003-2006, 2008, 2010, 2012-2013, 2015, 2017-2019, 2021, 2023-2025";"Environmental Engineering (Q1); Ocean Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Engineering; Environmental Science"
26;21100324365;"Journal of Water Process Engineering";journal;"22147144";"Elsevier Ltd";No;No;1,278;Q1;125;1213;2261;82903;17312;2255;7,22;68,35;37,83;13;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2026";"Biotechnology (Q1); Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science"
27;21101162816;"Journal of Hazardous Materials Advances";journal;"27724166";"Elsevier B.V.";Yes;No;1,250;Q1;46;171;155;13052;989;152;6,38;76,33;34,65;6;Netherlands;Western Europe;"Elsevier B.V.";"2021-2026";"Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science"
28;21100367128;"Environmental Nanotechnology, Monitoring and Management";journal;"22151532";"Elsevier B.V.";Yes;No;1,214;Q1;80;149;467;11925;4069;467;8,79;80,03;35,20;4;Netherlands;Western Europe;"Elsevier B.V.";"2014-2026";"Management, Monitoring, Policy and Law (Q1); Materials Science (miscellaneous) (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science; Materials Science"
29;21100924773;"GeoHealth";journal;"24711403";"John Wiley &amp; Sons Inc.";Yes;No;1,161;Q1;48;91;209;6770;1001;194;4,64;74,40;39,76;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2017-2026";"Epidemiology (Q1); Global and Planetary Change (Q1); Health, Toxicology and Mutagenesis (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Environmental Science; Medicine"
30;21100468817;"Journal of Sustainable Cement-Based Materials";journal;"21650373, 21650381";"Taylor and Francis Ltd.";No;No;1,112;Q1;46;128;72;8140;431;71;5,35;63,59;32,31;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2026";"Ceramics and Composites (Q1); Waste Management and Disposal (Q1)";"Environmental Science; Materials Science"
31;28810;"Biomass and Bioenergy";journal;"09619534, 18732909";"Elsevier Ltd";No;No;1,107;Q1;222;242;903;15072;5873;899;6,55;62,28;38,17;4;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Agronomy and Crop Science (Q1); Forestry (Q1); Waste Management and Disposal (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Energy; Environmental Science"
32;21100868097;"Water Security";journal;"24683124";"Elsevier B.V.";No;No;1,105;Q1;33;25;72;1664;390;71;3,93;66,56;38,94;3;Netherlands;Western Europe;"Elsevier B.V.";"2017-2026";"Management, Monitoring, Policy and Law (Q1); Oceanography (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)";"Earth and Planetary Sciences; Environmental Science"
33;21101095936;"Journal of Leather Science and Engineering";journal;"25247859, 20966873";"Springer";Yes;Yes;1,043;Q1;0;0;0;0;0;0;0,00;0,00;0,00;0;Singapore;Asiatic Region;"Springer";"2019-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1)";"Chemical Engineering; Chemistry; Engineering; Environmental Science"
34;21101055470;"Environmental Challenges";journal;"26670100";"Elsevier B.V.";Yes;No;0,994;Q2;58;137;639;8583;3686;639;5,70;62,65;27,84;15;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1); Global and Planetary Change (Q2); Waste Management and Disposal (Q2)";"Environmental Science"
35;16052;"International Biodeterioration and Biodegradation";journal;"09648305";"Elsevier Ltd";No;No;0,990;Q2;146;94;368;6133;1870;360;4,73;65,24;46,64;2;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2026";"Biomaterials (Q2); Microbiology (Q2); Waste Management and Disposal (Q2)";"Environmental Science; Immunology and Microbiology; Materials Science"
36;21100254615;"Atmospheric Pollution Research";journal;"13091042";"Elsevier B.V.";Yes;No;0,950;Q2;84;238;823;14457;3926;823;4,51;60,74;35,25;7;Netherlands;Western Europe;"Elsevier B.V.";"2010-2026";"Pollution (Q1); Atmospheric Science (Q2); Waste Management and Disposal (Q2)";"Earth and Planetary Sciences; Environmental Science"
37;21100287109;"Sustainable Environment Research";journal;"24682039";"BioMed Central Ltd";Yes;No;0,907;Q2;61;42;116;1723;653;116;5,13;41,02;35,26;3;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2026";"Environmental Engineering (Q1); Pollution (Q1); Water Science and Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Energy; Environmental Science"
38;21100934090;"Recycling";journal;"23134321";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,869;Q2;51;99;201;6705;1131;199;5,58;67,73;33,81;8;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2016-2026";"Materials Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2)";"Environmental Science; Materials Science"
39;26492;"Waste Management and Research";journal;"0734242X, 10963669";"SAGE Publications Ltd";No;No;0,857;Q2;116;153;478;9688;2275;437;4,49;63,32;38,55;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1983-2026";"Environmental Engineering (Q1); Pollution (Q2); Waste Management and Disposal (Q2)";"Environmental Science"
