Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100981740;"JCO Oncology Practice";journal;"26881527, 26881535";"Lippincott Williams and Wilkins";No;No;2,346;Q1;91;247;946;8365;2997;734;3,09;33,87;54,50;0;United States;Northern America;"Lippincott Williams and Wilkins";"2020-2026";"Health Policy (Q1); Oncology (Q1); Oncology (nursing) (Q1)";"Medicine; Nursing"
2;5400152645;"Journal of Cancer Survivorship";journal;"19322267, 19322259";"Springer New York";No;No;1,402;Q1;93;238;366;11465;1534;362;3,89;48,17;68,35;8;United States;Northern America;"Springer New York";"2007-2026";"Oncology (Q1); Oncology (nursing) (Q1)";"Medicine; Nursing"
3;6300153105;"Current Opinion in HIV and AIDS";journal;"17466318, 1746630X";"Lippincott Williams and Wilkins";No;No;1,237;Q1;87;60;153;3454;505;134;3,43;57,57;62,69;0;United States;Northern America;"Lippincott Williams and Wilkins";"2006-2026";"Hematology (Q1); Infectious Diseases (Q1); Oncology (nursing) (Q1); Virology (Q1); Immunology (Q2); Oncology (Q2)";"Immunology and Microbiology; Medicine; Nursing"
4;13147;"Supportive Care in Cancer";journal;"14337339, 09414355";"Springer Science and Business Media Deutschland GmbH";No;No;1,109;Q1;151;823;2604;31377;8050;2429;2,85;38,13;58,40;9;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1993-2026";"Oncology (nursing) (Q1); Rehabilitation (Q1); Oncology (Q2)";"Medicine; Nursing"
5;27684;"European Journal of Oncology Nursing";journal;"15322122, 14623889";"Churchill Livingstone";No;No;0,936;Q1;79;218;417;10237;1370;411;2,71;46,96;68,20;1;United Kingdom;Western Europe;"Churchill Livingstone";"1998-2026";"Medicine (miscellaneous) (Q1); Oncology (nursing) (Q1)";"Medicine; Nursing"
6;27197;"Cancer Nursing";journal;"0162220X, 15389804";"Lippincott Williams and Wilkins";No;No;0,854;Q1;93;155;395;6615;1077;367;2,73;42,68;68,88;0;United States;Northern America;"Lippincott Williams and Wilkins";"1978-2026";"Oncology (nursing) (Q1); Oncology (Q2)";"Medicine; Nursing"
7;21100322088;"BMJ Supportive and Palliative Care";journal;"2045435X, 20454368";"BMJ Publishing Group";No;No;0,820;Q2;57;523;568;14108;1226;494;2,01;26,98;56,71;52;United Kingdom;Western Europe;"BMJ Publishing Group";"2011-2026";"Medical and Surgical Nursing (Q1); Medicine (miscellaneous) (Q2); Oncology (nursing) (Q2)";"Medicine; Nursing"
8;21100886348;"Asia-Pacific Journal of Oncology Nursing";journal;"23496673, 23475625";"";Yes;No;0,746;Q2;34;155;328;5529;889;283;2,61;35,67;66,13;0;Netherlands;Western Europe;"";"2017-2026";"Oncology (Q2); Oncology (nursing) (Q2)";"Medicine; Nursing"
9;12100155640;"Current Opinion in Supportive and Palliative Care";journal;"17514258, 17514266";"Lippincott Williams and Wilkins";No;No;0,683;Q2;59;46;131;1991;231;114;1,81;43,28;62,50;0;United States;Northern America;"Lippincott Williams and Wilkins";"2007-2026";"Critical Care and Intensive Care Medicine (Q2); Medicine (miscellaneous) (Q2); Oncology (nursing) (Q2); Oncology (Q3)";"Medicine; Nursing"
10;21101021774;"Technical Innovations and Patient Support in Radiation Oncology";journal;"24056324";"Elsevier Ireland Ltd";Yes;No;0,683;Q2;24;68;120;1991;308;114;2,61;29,28;50,11;3;United Kingdom;Western Europe;"Elsevier Ireland Ltd";"2017-2026";"Care Planning (Q2); Health Policy (Q2); Oncology (nursing) (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine; Nursing"
11;29925;"Seminars in Oncology Nursing";journal;"18783449, 07492081";"Elsevier Inc.";No;No;0,651;Q2;66;136;248;6715;607;237;2,11;49,38;76,22;2;United States;Northern America;"Elsevier Inc.";"1985-2026";"Oncology (nursing) (Q2)";"Nursing"
12;21101091651;"Journal of Pediatric Hematology/Oncology Nursing";journal;"27527549, 27527530";"SAGE Publications Inc.";No;No;0,599;Q3;64;38;114;1329;235;112;1,80;34,97;87,50;0;United States;Northern America;"SAGE Publications Inc.";"2022-2026";"Advanced and Specialized Nursing (Q1); Medicine (miscellaneous) (Q2); Pediatrics (Q2); Oncology (nursing) (Q3)";"Medicine; Nursing"
13;29317;"Oncology Nursing Forum";journal;"15380688, 0190535X";"Oncology Nursing Society";No;No;0,480;Q3;105;50;181;2289;248;163;1,10;45,78;70,32;0;United States;Northern America;"Oncology Nursing Society";"1977-2026";"Oncology (nursing) (Q3)";"Nursing"
14;27596;"Clinical Journal of Oncology Nursing";journal;"1538067X, 10921095";"Oncology Nursing Society";No;No;0,344;Q3;59;98;353;2144;320;306;0,74;21,88;80,93;0;United States;Northern America;"Oncology Nursing Society";"1997-2026";"Oncology (Q3); Oncology (nursing) (Q3)";"Medicine; Nursing"
15;21101052864;"Precision Cancer Medicine";journal;"26172216";"AME Publishing Company";No;No;0,326;Q3;11;5;97;377;86;79;0,81;75,40;58,33;0;Hong Kong;Asiatic Region;"AME Publishing Company";"2018-2025";"Anesthesiology and Pain Medicine (Q3); Oncology (Q3); Oncology (nursing) (Q3); Pharmacology (medical) (Q3); Surgery (Q3); Cancer Research (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
16;19700175030;"Rehabilitation Oncology";journal;"23812427, 21683808";"Lippincott Williams and Wilkins";No;No;0,261;Q3;19;21;121;759;68;86;0,54;36,14;65,00;0;United States;Northern America;"Lippincott Williams and Wilkins";"1988, 2007-2025";"Oncology (Q3); Oncology (nursing) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)";"Health Professions; Medicine; Nursing"
17;21101052728;"Therapeutic Radiology and Oncology";journal;"26162768";"AME Publishing Company";No;No;0,238;Q3;6;8;70;238;30;68;0,43;29,75;46,94;0;China;Asiatic Region;"AME Publishing Company";"2019-2025";"Oncology (nursing) (Q3); Radiological and Ultrasound Technology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Oncology (Q4)";"Health Professions; Medicine; Nursing"
18;21101041528;"Oncology Issues";journal;"10463356, 25731777";"Slack Incorporated";No;No;0,178;Q4;8;75;176;610;20;89;0,12;8,13;65,63;0;United States;Northern America;"Slack Incorporated";"1989-2001, 2004-2007, 2009-2010, 2012, 2014-2018, 2020-2024";"Health Policy (Q4); Health (social science) (Q4); Oncology (nursing) (Q4)";"Medicine; Nursing; Social Sciences"
19;4000148111;"Medecine Palliative";journal;"16366522";"Elsevier Masson s.r.l.";No;No;0,174;Q4;12;37;132;888;36;121;0,36;24,00;61,00;3;France;Western Europe;"Elsevier Masson s.r.l.";"1970, 2004-2026";"Anesthesiology and Pain Medicine (Q3); Oncology (Q4); Oncology (nursing) (Q4)";"Medicine; Nursing"
20;21101272732;"Asian Pacific Journal of Cancer Care";journal;"25883682";"West Asia Organization for Cancer Prevention";Yes;Yes;0,167;Q4;7;87;230;1771;93;228;0,34;20,36;40,34;0;Iran;Middle East;"West Asia Organization for Cancer Prevention";"2021-2026";"Medicine (miscellaneous) (Q4); Oncology (Q4); Oncology (nursing) (Q4)";"Medicine; Nursing"
21;10300153303;"Psycho-Oncologie (discontinued)";journal;"17783798, 1778381X";"";No;No;0,151;Q4;10;41;100;1315;30;87;0,31;32,07;63,04;0;United States;Northern America;"";"2007-2024";"Clinical Psychology (Q4); Oncology (Q4); Oncology (nursing) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Nursing; Psychology"
22;21101264278;"Onco.News";journal;"21836914, 16467868";"Portuguese Oncological Nursing Association (AEOP)";Yes;Yes;0,124;Q4;2;13;40;439;3;34;0,04;33,77;84,38;0;Portugal;Western Europe;"Portuguese Oncological Nursing Association (AEOP)";"2020-2026";"Education (Q4); Health Professions (miscellaneous) (Q4); Oncology (nursing) (Q4)";"Health Professions; Nursing; Social Sciences"
23;21101291381;"Autophagy Reports";journal;"27694127";"Informa UK Ltd";Yes;No;;-;10;41;128;1838;114;37;0,89;44,83;37,58;0;United Kingdom;Western Europe;"Informa UK Ltd";"2022-2026";"Geriatrics and Gerontology; Neuroscience (miscellaneous); Oncology (nursing); Pharmacology";"Medicine; Neuroscience; Nursing; Pharmacology, Toxicology and Pharmaceutics"
24;21101307731;"ESMO Gastrointestinal Oncology";journal;"29498198";"Elsevier B.V.";Yes;No;;-;6;48;0;1917;0;0;0,00;39,94;40,19;0;Netherlands;Western Europe;"Elsevier B.V.";"2024-2026";"Epidemiology; Gastroenterology; Genetics; Oncology (nursing)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
