Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21172;"Complementary Therapies in Medicine";journal;"18736963, 09652299";"Elsevier Ltd";Yes;No;0,851;Q1;93;91;570;4089;2286;540;3,56;44,93;46,61;5;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2026";"Advanced and Specialized Nursing (Q1); Complementary and Alternative Medicine (Q1); Complementary and Manual Therapy (Q1)";"Health Professions; Medicine; Nursing"
2;16805;"Journal of Music Therapy";journal;"20537395, 00222917";"American Music Therapy Association";No;No;0,666;Q1;64;23;56;818;103;52;1,78;35,57;63,77;2;United States;Northern America;"American Music Therapy Association";"1964-2026";"Complementary and Manual Therapy (Q1); Music (Q1); Medicine (miscellaneous) (Q2)";"Arts and Humanities; Health Professions; Medicine"
3;21101146512;"Open Access Journal of Sports Medicine";journal;"11791543";"Dove Medical Press Ltd";Yes;No;0,600;Q1;15;11;40;443;92;40;1,62;40,27;27,91;0;United Kingdom;Western Europe;"Dove Medical Press Ltd";"2013-2015, 2019-2026";"Complementary and Manual Therapy (Q1); Occupational Therapy (Q1); Optometry (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Podiatry (Q2)";"Health Professions; Medicine"
4;26550;"International Journal of Clinical and Experimental Hypnosis";journal;"00207144, 17445183";"Routledge";No;No;0,484;Q1;57;23;96;1098;146;88;1,70;47,74;46,97;0;United Kingdom;Western Europe;"Routledge";"1959-2026";"Complementary and Manual Therapy (Q1); Clinical Psychology (Q3)";"Health Professions; Psychology"
5;16788;"Journal of Bodywork and Movement Therapies";journal;"15329283, 13608592";"Churchill Livingstone";No;No;0,480;Q1;73;168;617;6784;1067;610;1,48;40,38;45,39;7;United States;Northern America;"Churchill Livingstone";"1996-2026";"Complementary and Manual Therapy (Q1); Complementary and Alternative Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2)";"Health Professions; Medicine"
6;21100831042;"Spirituality in Clinical Practice";journal;"23264519, 23264500";"American Psychological Association";No;No;0,457;Q2;28;22;94;1132;145;93;1,36;51,45;50,60;1;United States;Northern America;"American Psychological Association";"2014-2025";"Complementary and Alternative Medicine (Q2); Complementary and Manual Therapy (Q2); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)";"Health Professions; Medicine; Psychology"
7;145406;"Art Therapy";journal;"07421656";"Taylor and Francis Ltd.";No;No;0,444;Q2;49;34;97;760;138;73;1,15;22,35;78,33;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Complementary and Manual Therapy (Q2); Clinical Psychology (Q3)";"Health Professions; Psychology"
8;21101039810;"Journal of Osteopathic Medicine";journal;"27023648";"Walter de Gruyter GmbH";No;No;0,360;Q2;64;89;383;2097;389;298;1,03;23,56;43,33;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2021-2026";"Complementary and Alternative Medicine (Q2); Complementary and Manual Therapy (Q2)";"Health Professions; Medicine"
9;21100200404;"International Journal of Yoga Therapy";journal;"15312054, 21685835";"";No;No;0,337;Q2;22;17;61;665;59;59;0,90;39,12;66,20;0;United States;Northern America;"";"2011-2014, 2016-2026";"Complementary and Manual Therapy (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q3)";"Health Professions"
10;19700182227;"Indian Journal of Traditional Knowledge";journal;"09751068, 09725938";"National Institute of Science Communication and Policy Research";Yes;Yes;0,321;Q2;48;103;354;3243;380;347;0,95;31,49;41,84;0;India;Asiatic Region;"National Institute of Science Communication and Policy Research";"2004, 2008-2026";"Complementary and Alternative Medicine (Q2); Complementary and Manual Therapy (Q2)";"Health Professions; Medicine"
