Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;22,836;Q1;386;95;227;5424;2101;220;9,85;57,09;16,64;42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;17,669;Q1;355;111;499;6352;6906;494;11,31;57,23;17,33;55;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;16,546;Q1;268;87;407;5617;3606;406;6,45;64,56;22,08;43;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;20635;"Journal of Management";journal;"01492063, 15571211";"SAGE Publications Inc.";No;No;8,636;Q1;315;114;245;13220;4257;230;11,70;115,96;36,51;13;United States;Northern America;"SAGE Publications Inc.";"1975-2026";"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;29857;"Journal of Accounting Research";journal;"1475679X, 00218456";"Wiley-Blackwell Publishing Ltd";No;No;8,396;Q1;186;47;125;3275;872;125;6,99;69,68;20,72;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
6;16160;"Review of Finance";journal;"1573692X, 15723097";"Oxford University Press";No;No;8,220;Q1;91;61;154;3292;1331;153;8,91;53,97;23,72;18;United Kingdom;Western Europe;"Oxford University Press";"2001-2002, 2004-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;17555;"Journal of Monetary Economics";journal;"03043932";"Elsevier B.V.";No;No;7,872;Q1;165;111;298;4136;1336;298;3,56;37,26;20,08;73;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
8;29838;"Journal of Accounting and Economics";journal;"01654101";"Elsevier B.V.";No;No;7,505;Q1;207;53;146;3557;946;146;6,34;67,11;23,20;5;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;19700200702;"Annual Review of Financial Economics";journal;"19411367, 19411375";"Annual Reviews Inc.";No;No;6,062;Q1;56;19;76;1814;501;73;5,04;95,47;27,08;9;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
10;21100860760;"Critical Finance Review";journal;"21645760, 21645744";"Now Publishers Inc";No;No;4,754;Q1;17;14;50;528;96;49;2,09;37,71;19,44;1;United States;Northern America;"Now Publishers Inc";"2017-2025";"Finance (Q1)";"Economics, Econometrics and Finance"
