Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100858657;"The Lancet Planetary Health";journal;"25425196";"Elsevier B.V.";Yes;No;6,386;Q1;106;173;456;5719;6504;270;11,35;33,06;48,98;0;Netherlands;Western Europe;"Elsevier B.V.";"2017-2026";"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
2;5700191210;"Implementation Science";journal;"17485908";"BioMed Central Ltd";Yes;No;4,491;Q1;168;77;255;4755;2714;245;11,32;61,75;64,84;7;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2026";"Health Informatics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
3;20833;"Health Affairs";journal;"02782715, 15445208";"Project HOPE";No;No;4,465;Q1;233;232;767;6139;4420;602;5,67;26,46;55,53;126;United States;Northern America;"Project HOPE";"1981-2026";"Health Policy (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
4;21101053562;"The Lancet Regional Health - Europe";journal;"26667762";"Elsevier Ltd";Yes;No;4,088;Q1;69;314;714;9314;5104;402;7,13;29,66;49,43;51;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2026";"Health Policy (Q1); Internal Medicine (Q1); Oncology (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
5;3600148102;"Alzheimer's and Dementia";journal;"15525279, 15525260";"John Wiley and Sons Inc";No;No;3,600;Q1;194;716;1629;41189;11197;1110;6,84;57,53;48,91;32;United States;Northern America;"John Wiley and Sons Inc";"2005-2026";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
6;21101021641;"International Journal of Transgender Health";journal;"26895269, 26895277";"Routledge";No;No;3,422;Q1;66;80;93;4018;1562;85;20,35;50,23;55,95;4;United Kingdom;Western Europe;"Routledge";"2020-2026";"Gender Studies (Q1); Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
7;21103;"Milbank Quarterly";journal;"0887378X, 14680009";"Wiley-Blackwell Publishing Ltd";No;No;2,745;Q1;127;45;171;2629;899;154;3,79;58,42;56,28;10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2026";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
8;21101082055;"The Lancet Regional Health - Americas";journal;"2667193X";"Elsevier Ltd";Yes;No;2,698;Q1;50;281;598;8483;3245;409;5,41;30,19;49,88;30;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2026";"Health Policy (Q1); Internal Medicine (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
9;21101120622;"JAMA Health Forum";journal;"26890186";"American Medical Association";Yes;No;2,653;Q1;43;270;853;4724;3017;560;3,91;17,50;51,11;56;United States;Northern America;"American Medical Association";"2020-2026";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
10;21101041899;"The Lancet Regional Health - Western Pacific";journal;"26666065";"Elsevier Ltd";Yes;No;2,534;Q1;57;293;813;10936;4289;519;5,61;37,32;47,94;31;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2026";"Geriatrics and Gerontology (Q1); Health Policy (Q1); Infectious Diseases (Q1); Internal Medicine (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
