Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";"Nature Research";No;No;14,293;Q1;458;118;346;9166;6233;207;17,43;77,68;32,65;5;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2;19700175140;"Genome Medicine";journal;"1756994X";"BioMed Central Ltd";Yes;No;4,975;Q1;147;113;434;7801;5068;427;9,85;69,04;43,62;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2026";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3;21677;"American Journal of Human Genetics";journal;"15376605, 00029297";"Cell Press";No;No;4,516;Q1;348;162;524;8709;3991;493;6,87;53,76;49,96;10;United States;Northern America;"Cell Press";"1950-2026";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
4;22214;"Genome Research";journal;"15495469, 10889051";"Cold Spring Harbor Laboratory Press";No;No;4,403;Q1;347;159;510;10631;3439;508;6,18;66,86;38,15;0;United States;Northern America;"Cold Spring Harbor Laboratory Press";"1991-2026";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5;22191;"Genetics in Medicine";journal;"10983600, 15300366";"Elsevier B.V.";Yes;No;2,697;Q1;176;183;864;7013;4754;742;5,30;38,32;57,93;14;Netherlands;Western Europe;"Elsevier B.V.";"1998-2026";"Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
6;21100879846;"Circulation: Genomic and Precision Medicine";journal;"25748300";"Lippincott Williams and Wilkins";No;No;2,670;Q1;107;86;283;2746;1262;242;4,04;31,93;42,60;0;United States;Northern America;"Lippincott Williams and Wilkins";"2018-2026";"Cardiology and Cardiovascular Medicine (Q1); Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
7;4000151808;"PLOS Genetics";journal;"15537390, 15537404";"Public Library of Science";Yes;No;2,219;Q1;292;413;1601;29330;6726;1586;3,90;71,02;42,94;3;United States;Northern America;"Public Library of Science";"2005-2026";"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
8;21100852132;"npj Genomic Medicine";journal;"20567944";"Nature Research";Yes;No;2,105;Q1;50;39;228;2048;1107;223;4,51;52,51;54,61;1;United Kingdom;Western Europe;"Nature Research";"2016-2026";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9;22245;"Human Genetics";journal;"03406717, 14321203";"Springer Science and Business Media Deutschland GmbH";No;No;2,049;Q1;159;127;390;7969;1987;371;4,39;62,75;46,97;2;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1964-2026";"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
10;21101088425;"MedComm";journal;"26882663";"John Wiley and Sons Inc";Yes;No;1,926;Q1;57;245;169;34185;1409;143;9,34;139,53;42,40;2;United States;Northern America;"John Wiley and Sons Inc";"2020-2026";"Biochemistry (medical) (Q1); Cell Biology (Q1); Drug Discovery (Q1); Genetics (Q1); Genetics (clinical) (Q1); Immunology and Allergy (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
