Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21101159371;"Nature Reviews Psychology";journal;"27310574";"Nature Publishing Group";No;No;6,763;Q1;46;126;379;10215;4085;176;8,70;81,07;54,45;2;United States;Northern America;"Nature Publishing Group";"2022-2026";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology"
2;12854;"Clinical Psychology Review";journal;"18737811, 02727358";"Elsevier Inc.";No;No;5,002;Q1;284;87;215;9447;3451;211;11,83;108,59;58,32;3;United States;Northern America;"Elsevier Inc.";"1981-2026";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
3;19400158464;"Health Psychology Review";journal;"17437202, 17437199";"Routledge";No;No;3,664;Q1;88;39;95;4290;1277;93;11,87;110,00;63,20;2;United Kingdom;Western Europe;"Routledge";"2007, 2009-2026";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
4;19181;"Psychotherapy and Psychosomatics";journal;"00333190, 14230348";"S. Karger AG";No;No;3,391;Q1;128;63;156;3174;1277;93;4,48;50,38;49,33;0;Switzerland;Western Europe;"S. Karger AG";"1953-2026";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
5;21100244230;"Alcohol Research: Current Reviews";journal;"21694796, 21683492";"National Institute on Alcohol Abuse and Alcoholism (NIAAA)";No;No;2,906;Q1;124;12;28;1953;277;25;7,86;162,75;75,56;0;United States;Northern America;"National Institute on Alcohol Abuse and Alcoholism (NIAAA)";"2012-2026";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
6;12841;"Clinical Child and Family Psychology Review";journal;"15732827, 10964037";"Kluwer Academic Publishers";No;No;2,834;Q1;131;46;133;4697;1216;131;8,19;102,11;74,01;2;United States;Northern America;"Kluwer Academic Publishers";"1998-2026";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology; Social Sciences"
7;12767;"British Journal of Clinical Psychology";journal;"01446657, 20448260";"Wiley-Blackwell";No;No;2,511;Q1;109;79;162;4441;1239;162;3,63;56,22;64,25;2;United States;Northern America;"Wiley-Blackwell";"1962-1966, 1968, 1970, 1981-2026";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Psychology"
8;21100274406;"Clinical Psychological Science";journal;"21677034, 21677026";"SAGE Publications Inc.";No;No;2,264;Q1;86;79;222;6163;1240;214;5,32;78,01;46,24;0;United States;Northern America;"SAGE Publications Inc.";"2013-2026";"Clinical Psychology (Q1)";"Psychology"
9;15406;"Journal of Clinical Child and Adolescent Psychology";journal;"15374424, 15374416";"Routledge";No;No;2,194;Q1;172;100;217;5331;1326;195;5,83;53,31;63,53;2;United States;Northern America;"Routledge";"1999-2026";"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1)";"Psychology"
10;19900193555;"Social Psychological and Personality Science";journal;"19485514, 19485506";"Sage Periodicals Press";No;No;2,179;Q1;107;121;284;6145;1646;284;5,07;50,79;48,68;2;United States;Northern America;"Sage Periodicals Press";"2010-2026";"Clinical Psychology (Q1); Social Psychology (Q1)";"Psychology"
