Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;19700201301;"Chiropractic and Manual Therapies";journal;"2045709X";"BioMed Central Ltd";Yes;No;0,561;Q1;45;56;149;2779;362;135;2,03;49,63;39,22;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2011-2026";"Chiropractics (Q1); Complementary and Alternative Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q2)";"Health Professions; Medicine"
2;4000148707;"Explore";journal;"18787541, 15508307";"Elsevier Inc.";No;No;0,526;Q1;55;144;452;4568;1032;437;2,30;31,72;54,22;0;United States;Northern America;"Elsevier Inc.";"2005-2026";"Chiropractics (Q1); Analysis (Q2); Complementary and Alternative Medicine (Q2); Nursing (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)";"Health Professions; Mathematics; Medicine; Nursing"
3;5000158307;"Musculoskeletal Care";journal;"14782189";"Wiley-Blackwell";No;No;0,518;Q1;40;150;407;5691;733;406;1,56;37,94;53,59;2;United States;Northern America;"Wiley-Blackwell";"2003, 2006-2026";"Chiropractics (Q1); Nursing (miscellaneous) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3); Rheumatology (Q3)";"Health Professions; Medicine; Nursing"
4;35303;"Journal of Manipulative and Physiological Therapeutics";journal;"01614754, 15326586";"Elsevier Inc.";No;No;0,411;Q2;91;97;119;4173;200;119;1,34;43,02;48,27;0;United States;Northern America;"Elsevier Inc.";"1982-2025";"Chiropractics (Q2)";"Health Professions"
5;7500153109;"Journal of Chiropractic Medicine";journal;"15563715, 15563707";"Elsevier Inc.";No;No;0,319;Q2;35;57;101;2093;132;101;1,47;36,72;36,92;0;United States;Northern America;"Elsevier Inc.";"2002-2025";"Chiropractics (Q2)";"Health Professions"
6;21101040700;"Journal of Applied Rehabilitation Counseling";journal;"00472220, 26397641";"Springer Publishing Company";No;No;0,225;Q3;7;25;44;1331;27;43;0,54;53,24;68,92;0;United States;Northern America;"Springer Publishing Company";"1970, 2019-2025";"Chiropractics (Q3); Occupational Therapy (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3); Analysis (Q4); Applied Psychology (Q4); Public Health, Environmental and Occupational Health (Q4)";"Health Professions; Mathematics; Medicine; Psychology"
7;19700175258;"Journal of Chiropractic Humanities";journal;"15563499";"Elsevier Inc.";No;No;0,223;Q3;16;10;18;399;14;16;1,10;39,90;29,73;0;United States;Northern America;"Elsevier Inc.";"1993-1999, 2001, 2004-2025";"Chiropractics (Q3); Complementary and Alternative Medicine (Q3)";"Health Professions; Medicine"
8;21100856608;"Journal of Chiropractic Education";journal;"2374250X, 10425055";"Allen Press Inc.";Yes;No;0,212;Q3;13;6;75;223;51;75;0,53;37,17;58,33;0;United States;Northern America;"Allen Press Inc.";"2017-2025";"Chiropractics (Q3)";"Health Professions"
9;21100388650;"Journal of the Canadian Chiropractic Association";journal;"17156181, 00083194";"Canadian Chiropractic Association";Yes;No;0,179;Q4;23;0;70;0;35;65;0,55;0,00;0,00;0;Canada;Northern America;"Canadian Chiropractic Association";"2014-2024";"Chiropractics (Q4)";"Health Professions"
10;21100197966;"Medicina Naturista";journal;"2386463X, 15763080";"Sociedad Europea De Medicina Naturista Clasica. Seccion Espanola";Yes;No;0,149;Q4;7;18;58;460;16;51;0,18;25,56;41,86;0;Spain;Western Europe;"Sociedad Europea De Medicina Naturista Clasica. Seccion Espanola";"2000, 2002, 2004-2025";"Chiropractics (Q4); Complementary and Alternative Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4)";"Health Professions; Medicine"
