Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;17600155041;"Nature Geoscience";journal;"17520908, 17520894";"Nature Publishing Group";No;No;6,110;Q1;297;215;550;9896;8086;431;13,67;46,03;29,85;46;United Kingdom;Western Europe;"Nature Publishing Group";"2008-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
2;22845;"Radiocarbon";journal;"19455755, 00338222";"Cambridge University Press";No;No;4,271;Q1;101;97;327;5097;2260;322;9,47;52,55;34,69;0;United States;Northern America;"Cambridge University Press";"1959, 1962-1964, 1966-1967, 1969, 1971, 1973, 1975, 1977-1978, 1980-1983, 1986-1987, 1989-2026";"Archeology (arts and humanities) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1)";"Arts and Humanities; Earth and Planetary Sciences"
3;21100284918;"Earth System Science Data";journal;"18663516, 18663508";"Copernicus Publications";Yes;No;4,240;Q1;136;271;585;20354;7182;413;11,48;75,11;32,95;50;Germany;Western Europe;"Copernicus Publications";"2009-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
4;22580;"Earth-Science Reviews";journal;"00128252";"Elsevier B.V.";No;No;3,807;Q1;291;305;880;59623;11461;846;12,28;195,49;28,13;26;Netherlands;Western Europe;"Elsevier B.V.";"1966-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
5;21100218107;"Journal of Advances in Modeling Earth Systems";journal;"19422466";"John Wiley and Sons Inc";Yes;No;3,605;Q1;114;251;651;18269;5236;642;6,96;72,78;26,05;0;United States;Northern America;"John Wiley and Sons Inc";"2009, 2011-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Chemistry (Q1); Global and Planetary Change (Q1)";"Earth and Planetary Sciences; Environmental Science"
6;21101027517;"One Earth";journal;"25903330, 25903322";"Cell Press";No;No;2,617;Q1;89;165;497;7806;3896;333;7,59;47,31;42,46;71;United States;Northern America;"Cell Press";"2019-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Earth and Planetary Sciences; Environmental Science"
7;21100338322;"IEEE Geoscience and Remote Sensing Magazine";journal;"24732397, 21686831";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,539;Q1;78;60;144;7038;1783;137;9,98;117,30;26,95;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2026";"Computer Science (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy"
8;21100403190;"Earth's Future";journal;"23284277";"John Wiley &amp; Sons Inc.";Yes;No;2,510;Q1;103;267;385;21843;3486;354;8,24;81,81;33,46;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2014-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Earth and Planetary Sciences; Environmental Science"
9;21101065239;"Communications Earth and Environment";journal;"26624435";"Springer Nature";Yes;No;2,457;Q1;75;314;308;20453;2250;290;7,31;65,14;29,77;81;United Kingdom;Western Europe;"Springer Nature";"2020-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Earth and Planetary Sciences; Environmental Science"
10;22566;"Earth and Planetary Science Letters";journal;"0012821X";"Elsevier B.V.";No;No;2,416;Q1;314;452;1470;26432;8298;1443;5,56;58,48;26,00;11;Netherlands;Western Europe;"Elsevier B.V.";"1966-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences"
11;17360;"IEEE Transactions on Geoscience and Remote Sensing";journal;"15580644, 01962892";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,400;Q1;342;2903;2180;145761;25268;2180;11,04;50,21;28,97;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1980-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)";"Earth and Planetary Sciences; Engineering"
12;19900192023;"Earth System Dynamics";journal;"21904979, 21904987";"Copernicus Publications";Yes;No;2,298;Q1;80;70;188;7955;1233;188;7,32;113,64;29,33;22;Germany;Western Europe;"Copernicus Publications";"2010-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
13;22003;"American Journal of Science";journal;"00029599";"American Journal of Science";No;No;2,283;Q1;138;35;86;3985;406;78;2,98;113,86;23,40;0;United States;Northern America;"American Journal of Science";"1945-1948, 1950, 1969, 1973, 1975-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
14;21100197121;"Geoscientific Model Development";journal;"1991959X, 19919603";"Copernicus Publications";Yes;No;2,225;Q1;159;397;873;30436;5751;873;5,29;76,66;25,98;50;Germany;Western Europe;"Copernicus Publications";"2008-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Modeling and Simulation (Q1)";"Earth and Planetary Sciences; Mathematics"
15;4700152635;"Acta Geotechnica";journal;"18611125, 18611133";"Springer Verlag";No;No;2,067;Q1;101;331;588;17902;3777;585;6,22;54,08;24,46;0;Germany;Western Europe;"Springer Verlag";"2006-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
16;15714;"Geotechnique";journal;"17517656, 00168505";"ICE Publishing";Yes;No;2,042;Q1;191;189;298;9616;1482;277;4,39;50,88;21,36;2;United Kingdom;Western Europe;"ICE Publishing";"1948-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
17;21101038510;"Journal of Geophysical Research: Planets";journal;"21699100, 21699097";"Wiley-Blackwell Publishing Ltd";No;No;1,989;Q1;188;263;706;20481;3414;689;4,87;77,87;29,33;0;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences"
18;19700182749;"Geoscience Frontiers";journal;"16749871";"Elsevier B.V.";Yes;No;1,930;Q1;112;145;520;13834;4623;507;9,22;95,41;28,77;8;Netherlands;Western Europe;"Elsevier B.V.";"2010-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
19;27962;"Geophysical Research Letters";journal;"00948276, 19448007";"John Wiley and Sons Inc";Yes;No;1,837;Q1;354;1777;5038;91393;27619;4982;5,37;51,43;27,97;0;United States;Northern America;"John Wiley and Sons Inc";"1974-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geophysics (Q1)";"Earth and Planetary Sciences"
20;21101038508;"Journal of Geophysical Research: Atmospheres";journal;"2169897X, 21698996";"Wiley-Blackwell Publishing Ltd";No;No;1,798;Q1;149;738;2311;50880;11623;2300;4,42;68,94;32,07;0;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1987, 1992-1994, 1996-2003, 2005, 2008-2026";"Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences"
21;29472;"Hydrology and Earth System Sciences";journal;"10275606, 16077938";"Copernicus Publications";Yes;No;1,777;Q1;194;319;920;24712;5801;920;5,82;77,47;28,02;51;Germany;Western Europe;"Copernicus Publications";"1997-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)";"Earth and Planetary Sciences; Environmental Science"
22;21100855886;"Journal of Geophysical Research: Solid Earth";journal;"21699356, 21699313";"John Wiley and Sons Inc";No;No;1,742;Q1;295;602;2172;49736;9480;2155;4,02;82,62;25,43;0;United States;Northern America;"John Wiley and Sons Inc";"1979-1980, 1985-1986, 1988, 1990, 1993-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences"
23;15620;"Earthquake Engineering and Structural Dynamics";journal;"10969845, 00988847";"John Wiley and Sons Ltd";No;No;1,714;Q1;175;173;375;8689;1979;373;4,69;50,23;18,29;2;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1972-2026";"Civil and Structural Engineering (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Engineering"
24;19600161901;"Science China Earth Sciences";journal;"16747313, 18691897";"Science China Press";No;No;1,705;Q1;139;156;443;13238;3086;434;6,10;84,86;32,65;6;China;Asiatic Region;"Science China Press";"2010-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
25;30787;"AAPG Bulletin";journal;"01491423";"American Association of Petroleum Geologists";No;No;1,623;Q1;175;98;309;7097;1384;304;3,75;72,42;24,74;9;United States;Northern America;"American Association of Petroleum Geologists";"1943, 1950, 1967-2024";"Earth and Planetary Sciences (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1)";"Earth and Planetary Sciences; Energy"
26;25385;"Elements";journal;"18115209, 18115217";"Mineralogical Society of America";Yes;No;1,551;Q1;113;64;177;1135;569;132;2,91;17,73;45,92;0;United States;Northern America;"Mineralogical Society of America";"1973, 2005-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1)";"Earth and Planetary Sciences"
27;4000148310;"Geobiology";journal;"14724677, 14724669";"John Wiley and Sons Inc";No;No;1,441;Q1;93;47;131;4325;567;129;4,16;92,02;37,87;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2003-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
28;21101038511;"Journal of Geophysical Research: Oceans";journal;"21699291, 21699275";"Wiley-Blackwell";No;No;1,420;Q1;224;466;1550;30196;6363;1546;3,76;64,80;30,44;0;United States;Northern America;"Wiley-Blackwell";"1986-1992, 1994-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences"
29;28795;"GIScience and Remote Sensing";journal;"15481603";"Taylor and Francis Ltd.";Yes;No;1,340;Q1;76;110;203;7972;1435;201;7,54;72,47;32,56;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
30;144827;"GPS Solutions";journal;"10805370, 15211886";"Springer Science and Business Media Deutschland GmbH";No;No;1,302;Q1;106;149;377;4779;2056;376;5,36;32,07;28,13;1;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1995, 1998-2026";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
31;21101021580;"Progress in Disaster Science";journal;"25900617";"Elsevier Ltd";Yes;No;1,194;Q1;43;57;175;3562;1347;175;7,82;62,49;36,52;9;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Safety Research (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
32;7200153173;"Quaternary Geochronology";journal;"18711014";"Elsevier B.V.";No;No;1,182;Q1;87;131;188;7291;634;184;3,09;55,66;34,04;0;Netherlands;Western Europe;"Elsevier B.V.";"2006-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Geology (Q1); Stratigraphy (Q1)";"Earth and Planetary Sciences"
33;25751;"Earth Surface Processes and Landforms";journal;"01979337, 10969837";"John Wiley and Sons Ltd";No;No;1,177;Q1;163;218;693;16955;2772;678;3,59;77,78;28,36;12;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Social Sciences"
