Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100887442;"Forum of Mathematics, Pi";journal;"20505086";"Cambridge University Press";Yes;No;4,116;Q1;26;26;69;1278;218;69;2,89;49,15;10,45;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2026";"Algebra and Number Theory (Q1); Analysis (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1)";"Mathematics"
2;23844;"Journal of Combinatorial Theory. Series B";journal;"10960902, 00958956";"Academic Press Inc.";No;No;2,312;Q1;75;84;250;2145;420;249;1,74;25,54;24,08;0;United States;Northern America;"Academic Press Inc.";"1971-2026";"Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
3;21101021579;"Advances in Combinatorics";journal;"25175599";"Alliance of Diamond OA Journals";Yes;Yes;1,944;Q1;12;7;24;222;39;24;1,73;31,71;21,05;0;United Kingdom;Western Europe;"Alliance of Diamond OA Journals";"2019-2025";"Discrete Mathematics and Combinatorics (Q1)";"Mathematics"
4;21100886430;"Forum of Mathematics, Sigma";journal;"20505094";"Cambridge University Press";Yes;No;1,834;Q1;29;125;314;4402;438;314;1,23;35,22;18,01;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2026";"Algebra and Number Theory (Q1); Analysis (Q1); Computational Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Mathematics"
5;23898;"Journal of Graph Theory";journal;"03649024, 10970118";"Wiley-Liss Inc.";No;No;1,595;Q1;62;127;361;2644;431;361;1,13;20,82;20,43;0;United States;Northern America;"Wiley-Liss Inc.";"1977-2026";"Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1)";"Mathematics"
6;26445;"European Journal of Combinatorics";journal;"10959971, 01956698";"Academic Press";No;No;1,398;Q1;62;186;373;4415;466;372;1,16;23,74;20,90;0;United States;Northern America;"Academic Press";"1980-2026";"Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
7;40107;"Journal of Combinatorial Theory. Series A";journal;"00973165, 10960899";"Academic Press Inc.";No;No;1,321;Q1;64;81;304;2050;427;303;1,44;25,31;27,53;0;United States;Northern America;"Academic Press Inc.";"1971-2026";"Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
8;25785;"Combinatorica";journal;"02099683, 14396912";"Janos Bolyai Mathematical Society";No;No;1,269;Q1;64;60;153;1487;210;153;1,22;24,78;16,30;0;Germany;Western Europe;"Janos Bolyai Mathematical Society";"1981-2026";"Computational Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1)";"Mathematics"
9;23863;"Journal of Computational and Graphical Statistics";journal;"10618600, 15372715";"Taylor and Francis Ltd.";No;No;1,241;Q1;114;123;324;4768;753;318;2,03;38,76;26,97;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
10;21100867476;"Discrete Analysis";journal;"23973129";"Alliance of Diamond OA Journals";Yes;Yes;1,168;Q1;16;20;69;488;76;69;1,02;24,40;17,02;0;United Kingdom;Western Europe;"Alliance of Diamond OA Journals";"2016-2025";"Algebra and Number Theory (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1)";"Mathematics"
