Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;13795;"Contact Lens and Anterior Eye";journal;"14765411, 13670484";"Elsevier B.V.";No;No;1,249;Q1;73;105;318;5872;1219;289;3,60;55,92;44,98;0;Netherlands;Western Europe;"Elsevier B.V.";"1997-2026";"Medicine (miscellaneous) (Q1); Ophthalmology (Q1); Optometry (Q1)";"Health Professions; Medicine"
2;14604;"Ophthalmic and Physiological Optics";journal;"02755408, 14751313";"Springer Nature";No;No;0,976;Q1;93;155;455;6322;1233;393;2,42;40,79;51,10;1;United Kingdom;Western Europe;"Springer Nature";"1981-2026";"Ophthalmology (Q1); Optometry (Q1); Sensory Systems (Q2)";"Health Professions; Medicine; Neuroscience"
3;18200156708;"Journal of Optometry";journal;"19891342, 18884296";"Spanish Council of Optometry";Yes;No;0,752;Q1;40;46;141;1357;331;123;2,20;29,50;44,51;0;Spain;Western Europe;"Spanish Council of Optometry";"2008-2026";"Optometry (Q1)";"Health Professions"
4;21101146512;"Open Access Journal of Sports Medicine";journal;"11791543";"Dove Medical Press Ltd";Yes;No;0,643;Q1;15;20;37;1028;68;37;1,55;51,40;19,42;0;United Kingdom;Western Europe;"Dove Medical Press Ltd";"2013-2015, 2019-2026";"Complementary and Manual Therapy (Q1); Occupational Therapy (Q1); Optometry (Q1); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Podiatry (Q2)";"Health Professions; Medicine"
5;14654;"Optometry and Vision Science";journal;"15389235, 10405488";"Lippincott Williams and Wilkins Ltd.";No;No;0,634;Q2;123;100;462;3694;801;413;1,74;36,94;53,25;0;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1905, 1924-2025";"Ophthalmology (Q2); Optometry (Q2)";"Health Professions; Medicine"
6;13777;"Clinical and Experimental Optometry";journal;"14440938, 08164622";"Taylor and Francis Ltd.";No;No;0,624;Q2;79;133;442;4206;791;388;1,56;31,62;49,20;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986-2026";"Ophthalmology (Q2); Optometry (Q2)";"Health Professions; Medicine"
7;21100945704;"Vision (Switzerland)";journal;"24115150";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,577;Q2;24;68;196;3809;407;195;2,09;56,01;44,41;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2025";"Ophthalmology (Q2); Optometry (Q2); Cell Biology (Q3); Cognitive Neuroscience (Q3); Sensory Systems (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Neuroscience"
8;21101039234;"British and Irish Orthoptic Journal";journal;"25163590, 17439868";"White Rose University Press";Yes;Yes;0,363;Q3;11;25;51;883;62;51;0,80;35,32;73,21;0;United Kingdom;Western Europe;"White Rose University Press";"2019-2025";"Ophthalmology (Q3); Optometry (Q3)";"Health Professions; Medicine"
9;21100976869;"Medical Hypothesis, Discovery, and Innovation in Ophthalmology";journal;"23224436, 23223219";"International Virtual Ophthalmic Research Center";Yes;No;0,335;Q3;16;23;75;1108;82;71;0,86;48,17;28,74;0;United States;Northern America;"International Virtual Ophthalmic Research Center";"2019-2025";"Ophthalmology (Q3); Optometry (Q3)";"Health Professions; Medicine"
10;11900154333;"Expert Review of Ophthalmology";journal;"17469899, 17469902";"Taylor and Francis Ltd.";No;No;0,320;Q3;34;43;140;3683;121;118;0,83;85,65;39,02;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2026";"Biomedical Engineering (Q3); Ophthalmology (Q3); Optometry (Q3)";"Engineering; Health Professions; Medicine"
11;21100887653;"African Vision and Eye Health";journal;"24101516, 24133183";"AOSIS (Pty) Ltd";Yes;No;0,257;Q3;17;33;121;1286;94;117;0,68;38,97;39,02;0;South Africa;Africa;"AOSIS (Pty) Ltd";"2015-2026";"Ophthalmology (Q3); Optometry (Q3)";"Health Professions; Medicine"
12;21101241165;"Eye Glaz";journal;"22224408, 26868083";"Academy of Medical Optics and Optometry Non-State Educational Private Institution of Continuing Professional Education LLC";No;No;0,161;Q4;4;29;79;497;29;78;0,43;17,14;54,93;0;Russian Federation;Eastern Europe;"Academy of Medical Optics and Optometry Non-State Educational Private Institution of Continuing Professional Education LLC";"2020-2025";"Ophthalmology (Q4); Optometry (Q4)";"Health Professions; Medicine"
13;21100810708;"Advances in Ophthalmology and Optometry";journal;"24521760";"Elsevier Inc.";No;No;0,134;Q4;8;26;84;1150;19;80;0,16;44,23;45,28;0;United States;Northern America;"Elsevier Inc.";"2016-2025";"Ophthalmology (Q4); Optometry (Q4)";"Health Professions; Medicine"
14;19700186276;"The Australasian journal of optometry";journal;"0817881X";"Optometrists Association Australia";No;No;0,133;Q4;1;2;2;0;0;1;0,00;0,00;0,00;0;Australia;Pacific Region;"Optometrists Association Australia";"1920-1942, 1944-1959, 2018, 2020, 2022-2024";"Medicine (miscellaneous) (Q4); Ophthalmology (Q4); Optometry (Q4)";"Health Professions; Medicine"
15;21101272841;"AJO International";journal;"29502535";"Elsevier B.V.";Yes;No;;-;5;76;0;2492;0;0;0,00;32,79;37,03;0;Netherlands;Western Europe;"Elsevier B.V.";"2024-2026";"Ophthalmology; Optometry";"Health Professions; Medicine"
16;21101303299;"Journal of Health and Rehabilitation Sciences";journal;"28205480";"Alma Mater Europaea University";No;No;;-;3;12;20;425;8;19;0,40;35,42;45,45;0;Slovenia;Eastern Europe;"Alma Mater Europaea University";"2022-2026";"Health Professions (miscellaneous); Occupational Therapy; Optometry; Physical Therapy, Sports Therapy and Rehabilitation";"Health Professions"
