Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;12503;"Remote Sensing of Environment";journal;"00344257";"Elsevier Inc.";No;No;4,057;Q1;397;439;1469;33282;22750;1462;14,41;75,81;27,70;77;United States;Northern America;"Elsevier Inc.";"1969-1971, 1974-2026";"Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
2;14802;"Soil Biology and Biochemistry";journal;"00380717";"Elsevier Ltd";No;No;2,934;Q1;304;296;925;21726;9199;919;9,54;73,40;40,27;25;United Kingdom;Western Europe;"Elsevier Ltd";"1969-2026";"Microbiology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
3;21101049099;"Biochar";journal;"25247867";"Springer Science and Business Media B.V.";Yes;No;1,966;Q1;64;72;116;5646;1563;115;12,93;78,42;37,83;5;Germany;Western Europe;"Springer Science and Business Media B.V.";"2019-2026";"Biomaterials (Q1); Environmental Science (miscellaneous) (Q1); Pollution (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Environmental Science; Materials Science"
4;39112;"Geoderma";journal;"18726259, 00167061";"Elsevier B.V.";Yes;No;1,933;Q1;227;565;1712;39328;13529;1699;6,79;69,61;33,69;51;Netherlands;Western Europe;"Elsevier B.V.";"1967-2026";"Soil Science (Q1)";"Agricultural and Biological Sciences"
5;21100843337;"SOIL";journal;"21993971, 2199398X";"Copernicus Publications";Yes;No;1,894;Q1;56;48;112;3340;850;112;7,21;69,58;34,51;9;Germany;Western Europe;"Copernicus Publications";"2015-2026";"Soil Science (Q1)";"Agricultural and Biological Sciences"
6;38003;"Soil and Tillage Research";journal;"01671987";"Elsevier B.V.";No;No;1,796;Q1;197;256;932;16291;7486;926;7,17;63,64;29,80;23;Netherlands;Western Europe;"Elsevier B.V.";"1980, 1982-2026";"Agronomy and Crop Science (Q1); Earth-Surface Processes (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
7;21100817619;"International Soil and Water Conservation Research";journal;"20956339, 2589059X";"KeAi Communications Co.";Yes;No;1,696;Q1;76;57;137;3666;1152;135;6,64;64,32;27,96;9;China;Asiatic Region;"KeAi Communications Co.";"2013-2026";"Agronomy and Crop Science (Q1); Nature and Landscape Conservation (Q1); Soil Science (Q1); Water Science and Technology (Q1)";"Agricultural and Biological Sciences; Environmental Science"
8;40981;"Biology and Fertility of Soils";journal;"14320789, 01782762";"Springer Science and Business Media Deutschland GmbH";No;No;1,591;Q1;161;72;251;4885;1639;245;6,34;67,85;36,99;7;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1985-2026";"Agronomy and Crop Science (Q1); Microbiology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
9;35824;"Agricultural Water Management";journal;"18732283, 03783774";"Elsevier B.V.";Yes;No;1,524;Q1;189;635;1606;39111;11795;1599;7,33;61,59;31,87;49;Netherlands;Western Europe;"Elsevier B.V.";"1976-1977, 1979-2026";"Agronomy and Crop Science (Q1); Earth-Surface Processes (Q1); Soil Science (Q1); Water Science and Technology (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
10;145301;"Urban Forestry and Urban Greening";journal;"16108167, 16188667";"Elsevier GmbH";No;No;1,434;Q1;148;289;971;19892;6801;968;6,79;68,83;43,61;37;Germany;Western Europe;"Elsevier GmbH";"2002-2026";"Ecology (Q1); Forestry (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Environmental Science"
