Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";"University of Chicago Press";No;No;6,084;Q1;143;41;123;2045;529;122;3,62;49,88;29,67;37;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2026";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;3,914;Q1;88;43;101;3409;637;94;6,56;79,28;25,27;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2026";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
3;21101146363;"Academy of Management Discoveries";journal;"21681007";"Academy of Management";No;No;3,803;Q1;34;29;119;2307;565;89;3,76;79,55;47,37;2;United States;Northern America;"Academy of Management";"2019-2025";"Business and International Management (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
4;24840;"International Journal of Human Resource Management";journal;"09585192, 14664399";"Routledge";No;No;2,078;Q1;158;153;432;14388;3301;420;6,89;94,04;47,70;16;United Kingdom;Western Europe;"Routledge";"1990-2026";"Business and International Management (Q1); Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
5;12512;"Journal of Management in Engineering";journal;"19435479, 0742597X";"American Society of Civil Engineers (ASCE)";No;No;1,475;Q1;112;74;368;5449;2403;365;5,80;73,64;26,44;0;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1985-2026";"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
6;63777;"Personnel Review";journal;"00483486";"Emerald Group Publishing Ltd.";No;No;1,228;Q1;104;127;339;9072;1568;334;4,37;71,43;47,62;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1971-2026";"Applied Psychology (Q1); Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
7;19170;"Industrial Management and Data Systems";journal;"02635577";"Emerald Group Publishing Ltd.";No;No;1,207;Q1;141;127;355;10179;2229;346;5,13;80,15;36,17;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-2026";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Management Information Systems (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
8;20146;"Industrial Relations";journal;"00198676, 1468232X";"Wiley-Blackwell Publishing Ltd";No;No;1,177;Q1;68;19;53;1236;146;47;1,97;65,05;41,86;12;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2026";"Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
9;21100869398;"Work, Aging and Retirement";journal;"20544650";"Oxford University Press";No;No;1,159;Q1;45;29;89;2125;290;79;2,61;73,28;58,54;3;United States;Northern America;"Oxford University Press";"2015-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geriatrics and Gerontology (Q1); Industrial Relations (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Social Sciences"
10;21100197939;"Transfer";journal;"10242589, 19967284";"SAGE Publications Ltd";No;No;1,097;Q1;41;38;107;1412;263;80;2,22;37,16;42,62;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-1997, 2010-2026";"Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
11;16273;"Journal of Construction Engineering and Management";journal;"19437862, 07339364";"American Society of Civil Engineers (ASCE)";No;No;1,071;Q1;158;218;664;15389;3509;656;4,43;70,59;31,84;0;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1982-2026";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Engineering"
12;21100830164;"Business and Human Rights Journal";journal;"20570198, 20570201";"Cambridge University Press";No;No;1,061;Q1;30;37;103;1851;204;102;1,95;50,03;49,02;12;United Kingdom;Western Europe;"Cambridge University Press";"2016-2026";"Business and International Management (Q1); Industrial Relations (Q1); Law (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
13;20575;"Journal of Engineering and Technology Management - JET-M";journal;"18791719, 09234748";"Elsevier B.V.";No;No;1,042;Q1;84;37;79;3018;406;79;3,98;81,57;34,74;1;Netherlands;Western Europe;"Elsevier B.V.";"1989-2026";"Engineering (miscellaneous) (Q1); Industrial Relations (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
14;19990;"International Journal of Industrial Organization";journal;"01677187";"Elsevier Inc.";No;No;1,036;Q1;100;74;185;3163;304;184;1,52;42,74;21,79;23;United States;Northern America;"Elsevier Inc.";"1983-2026";"Aerospace Engineering (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Engineering"
15;144738;"Employee Relations";journal;"01425455";"Emerald Group Publishing Ltd.";No;No;0,892;Q1;78;87;245;6543;1041;242;3,84;75,21;46,64;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1979-2026";"Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting"
16;21100937890;"Industrial Relations Journal";journal;"14682338, 00198692";"John Wiley &amp; Sons Inc.";No;No;0,874;Q2;16;24;90;1139;169;90;1,77;47,46;33,90;4;United States;Northern America;"John Wiley &amp; Sons Inc.";"1981, 2019-2026";"Industrial Relations (Q2)";"Business, Management and Accounting"
